Date,O/N
31 Dec 2021,2.1290
30 Dec 2021,1.2760
29 Dec 2021,1.3430
28 Dec 2021,1.6160
27 Dec 2021,1.7780
24 Dec 2021,1.8400
23 Dec 2021,1.6310
22 Dec 2021,1.6870
21 Dec 2021,1.8580
20 Dec 2021,1.9940
17 Dec 2021,1.8620
16 Dec 2021,2.1160
15 Dec 2021,2.1370
14 Dec 2021,2.1680
13 Dec 2021,2.1080
10 Dec 2021,1.8070
09 Dec 2021,2.1540
08 Dec 2021,2.1510
07 Dec 2021,2.1300
06 Dec 2021,1.8170
03 Dec 2021,1.9130
02 Dec 2021,1.9840
01 Dec 2021,2.0170
30 Nov 2021,2.1730
29 Nov 2021,1.8600
26 Nov 2021,1.7120
25 Nov 2021,1.8230
24 Nov 2021,1.7880
23 Nov 2021,2.1780
22 Nov 2021,1.9460
19 Nov 2021,1.9980
18 Nov 2021,1.9320
17 Nov 2021,2.1520
16 Nov 2021,1.9230
15 Nov 2021,1.7870
12 Nov 2021,1.8560
11 Nov 2021,1.8810
10 Nov 2021,1.8330
09 Nov 2021,2.1370
08 Nov 2021,1.8970
05 Nov 2021,1.8870
04 Nov 2021,1.8860
03 Nov 2021,2.0000
02 Nov 2021,2.1260
01 Nov 2021,2.0300
29 Oct 2021,2.1420
28 Oct 2021,1.9400
27 Oct 2021,1.9210
26 Oct 2021,1.5460
25 Oct 2021,1.6100
22 Oct 2021,1.6720
21 Oct 2021,1.6830
20 Oct 2021,2.1040
19 Oct 2021,2.2230
18 Oct 2021,2.1310
15 Oct 2021,2.0650
14 Oct 2021,2.1060
13 Oct 2021,2.1570
12 Oct 2021,2.1010
11 Oct 2021,2.1350
09 Oct 2021,1.6350
08 Oct 2021,2.1050
30 Sep 2021,2.2200
29 Sep 2021,1.5050
28 Sep 2021,1.9460
27 Sep 2021,1.7080
26 Sep 2021,1.6910
24 Sep 2021,1.6950
23 Sep 2021,2.0350
22 Sep 2021,2.1610
18 Sep 2021,2.1070
17 Sep 2021,2.2130
16 Sep 2021,2.2100
15 Sep 2021,2.1370
14 Sep 2021,2.2960
13 Sep 2021,2.1650
10 Sep 2021,2.1090
09 Sep 2021,2.0290
08 Sep 2021,2.1840
07 Sep 2021,2.1870
06 Sep 2021,2.1150
03 Sep 2021,1.9430
02 Sep 2021,2.0820
01 Sep 2021,2.1220
31 Aug 2021,2.1950
30 Aug 2021,1.8460
27 Aug 2021,2.0920
26 Aug 2021,2.1990
25 Aug 2021,2.2110
24 Aug 2021,2.2620
23 Aug 2021,2.1430
20 Aug 2021,2.0420
19 Aug 2021,1.8410
18 Aug 2021,1.7250
17 Aug 2021,1.9720
16 Aug 2021,2.1050
13 Aug 2021,2.1760
12 Aug 2021,1.9400
11 Aug 2021,2.0320
10 Aug 2021,2.2500
09 Aug 2021,2.2120
06 Aug 2021,1.8590
05 Aug 2021,1.7090
04 Aug 2021,1.7100
03 Aug 2021,1.8360
02 Aug 2021,1.8760
30 Jul 2021,2.1780
29 Jul 2021,1.6440
28 Jul 2021,2.0920
27 Jul 2021,2.2700
26 Jul 2021,2.1190
23 Jul 2021,2.0570
22 Jul 2021,2.1140
21 Jul 2021,2.1820
20 Jul 2021,2.1780
19 Jul 2021,2.1110
16 Jul 2021,2.1150
15 Jul 2021,2.0980
14 Jul 2021,1.9840
13 Jul 2021,2.0500
12 Jul 2021,1.9400
09 Jul 2021,2.2060
08 Jul 2021,1.7910
07 Jul 2021,2.0680
06 Jul 2021,1.9080
05 Jul 2021,1.6650
02 Jul 2021,1.6140
01 Jul 2021,1.7340
30 Jun 2021,2.1770
29 Jun 2021,1.7950
28 Jun 2021,1.5580
25 Jun 2021,1.5500
24 Jun 2021,1.8530
23 Jun 2021,2.2080
22 Jun 2021,2.3010
21 Jun 2021,2.2470
18 Jun 2021,2.0140
17 Jun 2021,1.8760
16 Jun 2021,2.0060
15 Jun 2021,2.1040
11 Jun 2021,1.9980
10 Jun 2021,1.8920
09 Jun 2021,2.1880
08 Jun 2021,2.1930
07 Jun 2021,2.2990
04 Jun 2021,2.1750
03 Jun 2021,1.8520
02 Jun 2021,2.0400
01 Jun 2021,2.1870
31 May 2021,2.2270
28 May 2021,2.1660
27 May 2021,2.1170
26 May 2021,1.9900
25 May 2021,2.1940
24 May 2021,2.1710
21 May 2021,1.9960
20 May 2021,2.0920
19 May 2021,2.0250
18 May 2021,2.1190
17 May 2021,2.1360
14 May 2021,1.8050
13 May 2021,1.9660
12 May 2021,1.9510
11 May 2021,1.9380
10 May 2021,1.6630
08 May 2021,1.4940
07 May 2021,1.7790
06 May 2021,2.0970
30 Apr 2021,2.2850
29 Apr 2021,1.8230
28 Apr 2021,1.7800
27 Apr 2021,1.8140
26 Apr 2021,2.0750
25 Apr 2021,2.0180
23 Apr 2021,1.9420
22 Apr 2021,2.1270
21 Apr 2021,1.8640
20 Apr 2021,1.8540
19 Apr 2021,2.1180
16 Apr 2021,1.9460
15 Apr 2021,1.8100
14 Apr 2021,1.8100
13 Apr 2021,1.7810
12 Apr 2021,1.7920
09 Apr 2021,1.7840
08 Apr 2021,1.7600
07 Apr 2021,1.8240
06 Apr 2021,1.7650
02 Apr 2021,1.7340
01 Apr 2021,2.1430
31 Mar 2021,2.1240
30 Mar 2021,1.8250
29 Mar 2021,1.8140
26 Mar 2021,1.7620
25 Mar 2021,2.0290
24 Mar 2021,1.8220
23 Mar 2021,1.9760
22 Mar 2021,2.0520
19 Mar 2021,2.1350
18 Mar 2021,2.2060
17 Mar 2021,1.9680
16 Mar 2021,2.1400
15 Mar 2021,2.2450
12 Mar 2021,1.7870
11 Mar 2021,1.7960
10 Mar 2021,1.7470
09 Mar 2021,2.0240
08 Mar 2021,1.7040
05 Mar 2021,1.5650
04 Mar 2021,1.9260
03 Mar 2021,1.4710
02 Mar 2021,1.7750
01 Mar 2021,2.1540
26 Feb 2021,2.0920
25 Feb 2021,1.7030
24 Feb 2021,1.5120
23 Feb 2021,1.9840
22 Feb 2021,1.5120
