observation_date,MoM_Inflation
1/1/09,0
1/2/09,0
1/3/09,-0.29999575
1/4/09,-0.200006938
1/5/09,-0.29999472
1/6/09,-0.500004224
1/7/09,0
1/8/09,0.500005322
1/9/09,0.399996716
1/10/09,-0.097535455
1/11/09,0.300912252
1/12/09,1.000086822
1/1/10,0.594101104
1/2/10,1.205819957
1/3/10,-0.705137541
1/4/10,0.204063735
1/5/10,-0.097754355
1/6/10,-0.60339488
1/7/10,0.401972932
1/8/10,0.596451742
1/9/10,0.601042469
1/10/10,0.702404898
1/11/10,1.098369032
1/12/10,0.49960859
1/1/11,1.002134295
1/2/11,1.278427503
1/3/11,-0.200728794
1/4/11,0.100566263
1/5/11,0.100465228
1/6/11,0.301082243
1/7/11,0.438675342
1/8/11,0.28408705
1/9/11,0.472151585
1/10/11,0.093980086
1/11/11,-0.187794469
1/12/11,0.282216303
1/1/12,1.500946489
1/2/12,-0.092427255
1/3/12,0.185014907
1/4/12,-0.092331319
1/5/12,-0.277271158
1/6/12,-0.556062904
1/7/12,0.09319181
1/8/12,0.652397826
1/9/12,0.306933636
1/10/12,-0.104495973
1/11/12,0.166946765
1/12/12,0.735829289
1/1/13,0.999552588
1/2/13,1.099631921
1/3/13,-0.899139885
1/4/13,0.197702878
1/5/13,-0.598949364
1/6/13,0
1/7/13,0.098881002
1/8/13,0.503034119
1/9/13,0.796988224
1/10/13,0.100409044
1/11/13,-0.100380172
1/12/13,0.300004726
1/1/14,0.999961075
1/2/14,0.507099391
1/3/14,-0.504540868
1/4/14,-0.405679513
1/5/14,0.101832994
1/6/14,-0.1017294
1/7/14,0
1/8/14,0.203665988
1/9/14,0.508130081
1/10/14,0
1/11/14,-0.303336704
1/12/14,0.405679513
1/1/15,0.303030303
1/2/15,1.208459215
1/3/15,-0.597014925
1/4/15,-0.2002002
1/5/15,-0.200601805
1/6/15,0
1/7/15,0.40201005
1/8/15,0.500500501
1/9/15,0.099601594
1/10/15,-0.39800995
1/11/15,0
1/12/15,0.4995005
1/1/16,0.497017893
1/2/16,1.582591494
1/3/16,-0.486854917
1/4/16,-0.195694716
1/5/16,-0.392156863
1/6/16,-0.196850394
1/7/16,0.197238659
1/8/16,0.098425197
1/9/16,0.688298918
1/10/16,-0.09765625
1/11/16,0.097751711
1/12/16,0.1953125
1/1/17,1.072124756
1/2/17,-0.192864031
1/3/17,-0.289855072
1/4/17,0
1/5/17,0.096899225
1/6/17,-0.193610842
1/7/17,-0.09699321
1/8/17,0.485436893
1/9/17,0.579710145
1/10/17,0.096061479
1/11/17,0
1/12/17,0.287907869
1/1/18,0.669856459
1/2/18,1.235741445
1/3/18,-1.126760563
1/4/18,-0.189933523
1/5/18,-0.190294957
1/6/18,0
1/7/18,0.285986654
1/8/18,0.66539924
1/9/18,0.661000944
1/10/18,0.187617261
1/11/18,-0.374531835
1/12/18,0.093984962
1/1/19,0.469483568
1/2/19,1.028037383
1/3/19,-0.370027752
1/4/19,0.092850511
1/5/19,0
1/6/19,-0.092764378
1/7/19,0.371402043
1/8/19,0.740055504
1/9/19,0.826446281
1/10/19,0.910746812
1/11/19,0.36101083
1/12/19,0
1/1/20,1.438848921
1/2/20,0.79787234
1/3/20,-1.231310466
1/4/20,-0.89047195
1/5/20,-0.808625337
1/6/20,0
1/7/20,-0.362318841
1/8/20,1.363636364
1/9/20,0.179372197
1/10/20,-0.268576544
1/11/20,-0.628366248
1/12/20,0.722673893
1/1/21,0.941704036
1/2/21,0.594669036
1/3/21,-0.492672186
1/4/21,-0.296995868
1/5/21,-0.099263845
1/6/21,-0.397628133
1/7/21,0.29936691
1/8/21,0.099550595
1/9/21,0
1/10/21,0.695804676
1/11/21,0.394880536
1/12/21,-0.295039597
1/1/22,0.493158291
1/2/22,0.588745046
1/3/22,0
1/4/22,0.390257726
1/5/22,-0.194370318
1/6/22,0
1/7/22,0.486915775
1/8/22,-0.096946026
1/9/22,0.291033355
1/10/22,0.096671802
1/11/22,-0.193243494
1/12/22,-0.096765431
1/1/23,0.775133865
1/2/23,-0.480743122
1/3/23,-0.289821932
1/4/23,-0.193805184
1/5/23,-0.097134278
1/6/23,-0.194370318
1/7/23,0.194748852
1/8/23,0.291599038
1/9/23,0.193805184
1/10/23,-0.096758503
1/11/23,-0.484000726
1/12/23,0.097236054
1/1/24,0.194370318
1/2/24,1.066919411
1/3/24,-0.863711058
1/4/24,-0.096765431
1/5/24,0
1/6/24,-0.29075121
1/7/24,0.485969356
1/8/24,0.38677391
1/9/24,0
1/10/24,-0.19268505
1/11/24,-0.579084593
1/12/24,0
